filename,lat,long,label,pred0,pred1,pred2,pred3,pred4
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/111_A_-22.9913963102614_-47.1210305406037.jpg,-22.9913963102614,-47.1210305406037,0,1,1,2,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/113_A_-22.9908853863214_-47.1218297798477.jpg,-22.9908853863214,-47.1218297798477,0,1,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1264_C_-22.9405116322404_-47.0993727983988.jpg,-22.9405116322404,-47.0993727983988,0,0,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1319_C_-22.9431957022085_-47.098586620934.jpg,-22.9431957022085,-47.098586620934,0,1,0,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1431_C_-22.9387287107344_-47.0986561173237.jpg,-22.9387287107344,-47.0986561173237,0,4,3,3,3,3
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/146_A_-22.9907870347743_-47.122767910673.jpg,-22.9907870347743,-47.122767910673,0,1,0,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/150_A_-22.9922316087438_-47.1215284140693.jpg,-22.9922316087438,-47.1215284140693,0,1,1,2,2,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1607_M_-22.9704241952721_-47.1352926205676.jpg,-22.9704241952721,-47.1352926205676,0,1,0,1,0,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1656_M_-22.9712040718735_-47.1357483101294.jpg,-22.9712040718735,-47.1357483101294,0,0,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1666_M_-22.9712552321622_-47.1307213976718.jpg,-22.9712552321622,-47.1307213976718,0,1,0,0,0,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1692_M_-22.9716092425337_-47.1332928922742.jpg,-22.9716092425337,-47.1332928922742,0,1,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1764_M_-22.9690478335077_-47.1341195104914.jpg,-22.9690478335077,-47.1341195104914,0,1,0,0,1,0
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1770_M_-22.9722398034054_-47.1331746698303.jpg,-22.9722398034054,-47.1331746698303,0,1,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/17_A_-22.9906507427925_-47.1178557006875.jpg,-22.9906507427925,-47.1178557006875,0,0,0,0,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1850_M_-22.9705451692022_-47.1318297833181.jpg,-22.9705451692022,-47.1318297833181,0,1,3,2,3,3
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1856_M_-22.9700527488172_-47.131539073554.jpg,-22.9700527488172,-47.131539073554,0,1,0,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1875_M_-22.9719087693422_-47.1304723693838.jpg,-22.9719087693422,-47.1304723693838,0,3,3,3,3,3
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1916_M_-22.9686901734858_-47.133959822623.jpg,-22.9686901734858,-47.133959822623,0,1,1,2,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1968_M_-22.9699562605424_-47.1329657058323.jpg,-22.9699562605424,-47.1329657058323,0,2,3,2,3,2
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/1981_M_-22.9692293807952_-47.1314317563854.jpg,-22.9692293807952,-47.1314317563854,0,2,3,2,2,3
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2010_M_-22.9720597130383_-47.1349907165487.jpg,-22.9720597130383,-47.1349907165487,0,0,0,0,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2020_M_-22.9679298131136_-47.1328545949127.jpg,-22.9679298131136,-47.1328545949127,0,3,2,2,3,3
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/203_A_-22.9928950864661_-47.1200578261217.jpg,-22.9928950864661,-47.1200578261217,0,3,2,2,3,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2098_M_-22.9718640280017_-47.1349602559151.jpg,-22.9718640280017,-47.1349602559151,0,0,0,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2104_M_-22.9721298430873_-47.132804734238.jpg,-22.9721298430873,-47.132804734238,0,0,0,0,1,0
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2131_M_-22.97022058768341_-47.1318486840456.jpg,-22.97022058768341,-47.1318486840456,0,1,1,1,1,1
/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_streetview/0/2155_M_-22.9716885626565_-47.13130837334.jpg,-22.9716885626565,-47.13130837334,0,1,2,2,3,2
