,filename,idx,label,pred,error,fold
0,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/01_04_2022_1D3B.tmp.jpg,1,0,0,0,0
1,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/01_04_2022_87CD.tmp.jpg,6,0,1,1,0
2,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/01_04_2022_FDAA.tmp.jpg,7,0,1,1,0
3,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/01_10_2021_42D4.tmp.jpg,8,0,1,1,0
4,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/04_04_2022_2894.tmp.jpg,12,0,2,2,0
5,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/04_04_2022_BC68.tmp.jpg,17,0,2,2,0
6,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/04_04_2022_BF81.tmp.jpg,22,0,1,1,0
7,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/04_04_2022_C47A.tmp.jpg,28,0,1,1,0
8,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/04_04_2022_C576.tmp.jpg,29,0,1,1,0
9,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/05_10_2021_77CE.tmp.jpg,31,0,2,2,0
10,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/10_11_2021_F90B.tmp.jpg,46,0,0,0,0
11,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/11_04_2022_88B1.tmp.jpg,50,0,0,0,0
12,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/11_04_2022_A702.tmp.jpg,51,0,4,4,0
13,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/12_05_2022_8FE6.tmp.jpg,54,0,1,1,0
14,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/18_03_2022_3A0E.tmp.jpg,62,0,2,2,0
15,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/18_03_2022_6B3.tmp.jpg,64,0,0,0,0
16,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/19_04_2022_293D.tmp.jpg,68,0,3,3,0
17,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/19_04_2022_31C1.tmp.jpg,73,0,0,0,0
18,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/19_04_2022_B264.tmp.jpg,77,0,1,1,0
19,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/20_09_2021_D375.tmp.jpg,81,0,1,1,0
20,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/22_03_2022_B942.tmp.jpg,86,0,1,1,0
21,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/22_03_2022_C78D.tmp.jpg,87,0,0,0,0
22,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/23_03_2022_A646.tmp.jpg,90,0,2,2,0
23,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/23_03_2022_BC90.tmp.jpg,91,0,0,0,0
24,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/23_09_2021_F023.tmp.jpg,98,0,1,1,0
25,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/23_09_2021_F3A6.tmp.jpg,101,0,0,0,0
26,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/24_06_2022_A20D.tmp.jpg,116,0,0,0,0
27,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/24_06_2022_EE39.tmp.jpg,118,0,4,4,0
28,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/28_03_2022_B00A.tmp.jpg,128,0,0,0,0
29,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/29_03_2022_54F2.tmp.jpg,137,0,3,3,0
30,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/0/30_03_2022_8778.tmp.jpg,143,0,1,1,0
31,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_04_2022_83BD.tmp.jpg,150,1,2,1,0
32,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_04_2022_EAF0.tmp.jpg,152,1,2,1,0
33,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_04_2022_EF42.tmp.jpg,155,1,2,1,0
34,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_04_2022_FB1C.tmp.jpg,166,1,0,1,0
35,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_04_2022_FD1A.tmp.jpg,168,1,1,0,0
36,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_10_2021_3F7E.tmp.jpg,171,1,1,0,0
37,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_10_2021_41BC.tmp.jpg,176,1,1,0,0
38,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/01_10_2021_4260.tmp.jpg,179,1,1,0,0
39,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_05_2022_CC9B.tmp.jpg,189,1,2,1,0
40,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_05_2022_CD24.tmp.jpg,192,1,3,2,0
41,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_05_2022_CD89.tmp.jpg,193,1,2,1,0
42,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_05_2022_D7FF.tmp.jpg,194,1,2,1,0
43,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_11_2021_1962.tmp.jpg,196,1,3,2,0
44,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_11_2021_1BCC.tmp.jpg,198,1,1,0,0
45,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/03_11_2021_1F6D.tmp.jpg,201,1,1,0,0
46,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_04_2022_2895.tmp.jpg,206,1,0,1,0
47,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_04_2022_C279.tmp.jpg,214,1,3,2,0
48,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_11_2021_5185.tmp.jpg,227,1,2,1,0
49,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_11_2021_B9E8.tmp.jpg,230,1,2,1,0
50,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_11_2021_C8E7.tmp.jpg,231,1,2,1,0
51,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/04_11_2021_D2A2.tmp.jpg,234,1,3,2,0
52,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/05_11_2021_25E9.tmp.jpg,244,1,2,1,0
53,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/06_10_2021_6F8F.tmp.jpg,252,1,3,2,0
54,/mnt/DADOS_PARIS_1/laranjeira/Datasets/ICM_facade/1/07_04_2022_70F9.tmp.jpg,260,1,2,1,0
